question_id,ground_truth,predicted,is_correct,match_type,timestamp
0,Addition,'Addition',True,Partial Match,2025-06-24T18:21:52.393614
1,Division,Ratios,False,No Match,2025-06-24T18:21:52.435125
2,Word Problem Comprehension,$15$,False,No Match,2025-06-24T18:21:52.513639
3,Subtraction,"1. Computational Errors (wrong operations, calculation mistakes)",False,No Match,2025-06-24T18:21:52.582638
4,Word Problem Comprehension,Multiplication.,False,No Match,2025-06-24T18:21:52.613772
5,Percentage Calculations,"1. Computational Errors (wrong operations, calculation mistakes)",False,No Match,2025-06-24T18:21:52.682771
6,Addition,$50$,False,No Match,2025-06-24T18:21:52.717285
7,Multiplication,Addition.,False,No Match,2025-06-24T18:21:52.744284
8,Addition,Addition,True,Exact Match,2025-06-24T18:21:52.787288
9,Multiplication,Overtime.,False,No Match,2025-06-24T18:21:52.830794
10,Solving Equations,"1. Computational Errors (wrong operations, calculation mistakes)",False,No Match,2025-06-24T18:21:52.903832
11,Addition,$Addition$,True,Partial Match,2025-06-24T18:21:52.952833
12,Word Problem Comprehension,"1. Computational Errors (wrong operations, calculation mistakes)

The student's wrong answer was incorrect in their computation of the total number of trees on Randy's farm. They mistakenly added 27 mango trees to 60 mango trees instead of correctly subtracting 5 from half as many mango trees. This error led to an incorrect total of 87 trees, which is not what the problem stated.",False,No Match,2025-06-24T18:21:53.214376
13,Word Problem Comprehension,$20$,False,No Match,2025-06-24T18:21:53.248376
14,Unit Rate,"1. Computational Errors

The student's wrong answer was due to a computational error where they incorrectly divided 8 pages by 20 minutes instead of multiplying 8 pages by 4 hours/minute. This mistake led to the incorrect conversion of time units and ultimately resulted in an incorrect answer.",False,No Match,2025-06-24T18:21:53.430593
15,Multiplication,Multiplication.,True,Partial Match,2025-06-24T18:21:53.475593
16,Ratios,Ratio,True,Partial Match,2025-06-24T18:21:53.514105
17,Addition,"1. Computational Errors (wrong operations, calculation mistakes)

The student's wrong answer was incorrect in their arithmetic calculations. They took away 4 pink hats and then twice as many green hats as pink hats, which resulted in a total of 8 green hats instead of the correct 4. This error led to the incorrect computation of the number of hard hats left in the truck.",False,No Match,2025-06-24T18:21:53.756441
18,Multiplication,"1. Computational Errors (wrong operations, calculation mistakes)",False,No Match,2025-06-24T18:21:53.829956
