question_id,ground_truth,predicted,is_correct,match_type,timestamp
0,Addition,Division,False,No Match,2025-06-24T18:24:55.377142
1,Division,Unit Conversion,False,No Match,2025-06-24T18:24:55.501116
2,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:24:55.681589
3,Subtraction,Subtraction,True,Exact Match,2025-06-24T18:24:55.852815
4,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:24:56.024150
5,Percentage Calculations,Percentage Calculations,True,Exact Match,2025-06-24T18:24:56.210459
6,Addition,Multiplication,False,No Match,2025-06-24T18:24:56.356604
7,Multiplication,Word Problem Comprehension,False,No Match,2025-06-24T18:24:56.524974
8,Addition,Word Problem Comprehension,False,No Match,2025-06-24T18:24:56.795026
9,Multiplication,Word Problem Comprehension,False,No Match,2025-06-24T18:24:57.017911
10,Solving Equations,Word Problem Comprehension,False,No Match,2025-06-24T18:24:57.274113
11,Addition,Word Problem Comprehension,False,No Match,2025-06-24T18:24:57.510445
12,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:24:57.691079
13,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:24:57.857141
14,Unit Rate,Unit Rate,True,Exact Match,2025-06-24T18:24:58.000114
15,Multiplication,Multiplication,True,Exact Match,2025-06-24T18:24:58.225505
16,Ratios,Ratios,True,Exact Match,2025-06-24T18:24:58.417608
17,Addition,Word Problem Comprehension,False,No Match,2025-06-24T18:24:58.596615
18,Multiplication,Multiplication,True,Exact Match,2025-06-24T18:24:58.856726
19,Division,Multiplication,False,No Match,2025-06-24T18:24:59.062134
20,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:24:59.272862
21,Order of Operations,Multiplication,False,No Match,2025-06-24T18:24:59.452989
22,Substitution,Word Problem Comprehension,False,No Match,2025-06-24T18:24:59.660297
23,Multiplication,Multiplication,True,Exact Match,2025-06-24T18:24:59.933628
24,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:25:00.164644
25,Fractions,Multiplication,False,No Match,2025-06-24T18:25:00.404804
26,Unit Conversion,Percentage,False,No Match,2025-06-24T18:25:00.536241
27,Percentages,Subtraction,False,No Match,2025-06-24T18:25:00.716606
28,Word Problem Comprehension,Subtraction,False,No Match,2025-06-24T18:25:00.833607
29,Ratio and Proportion,Ratio and Proportion,True,Exact Match,2025-06-24T18:25:01.122753
30,Word Problem Comprehension,Fractions,False,No Match,2025-06-24T18:25:01.276631
31,Multiplication,Multiplication,True,Exact Match,2025-06-24T18:25:01.481954
32,Subtraction,Word Problem Comprehension,False,No Match,2025-06-24T18:25:01.698376
33,Word Problem Comprehension,Fractions,False,No Match,2025-06-24T18:25:01.900622
34,Addition,Multiplication,False,No Match,2025-06-24T18:25:02.056635
35,Percentage,Percentage,True,Exact Match,2025-06-24T18:25:02.186114
36,Fractions,Word Problem Comprehension,False,No Match,2025-06-24T18:25:02.341044
37,Division,Division,True,Exact Match,2025-06-24T18:25:02.550610
38,Unit Conversion,Ratios,False,No Match,2025-06-24T18:25:02.770884
39,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:25:02.984987
40,Subtraction,Word Problem Comprehension,False,No Match,2025-06-24T18:25:03.195064
41,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:25:03.378096
42,Division,Multiplication,False,No Match,2025-06-24T18:25:03.581410
43,Addition,Exponential Growth,False,No Match,2025-06-24T18:25:03.739325
44,Percentage to Decimal Conversion,Percentage Calculation,False,No Match,2025-06-24T18:25:03.929883
45,Word Problem Comprehension,Multiplication,False,No Match,2025-06-24T18:25:04.045607
46,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:25:04.172653
