question_id,ground_truth,predicted,is_correct,match_type,timestamp
0,Addition,Division,False,No Match,2025-06-24T18:29:04.535120
1,Division,Unit Conversion,False,No Match,2025-06-24T18:29:04.615263
2,Word Problem Comprehension,Multiplication,False,No Match,2025-06-24T18:29:04.714118
3,Subtraction,Subtraction,True,Exact Match,2025-06-24T18:29:04.815197
4,Word Problem Comprehension,Multiplication,False,No Match,2025-06-24T18:29:04.898235
5,Percentage Calculations,Percentage Calculations,True,Exact Match,2025-06-24T18:29:05.088566
6,Addition,Addition,True,Exact Match,2025-06-24T18:29:05.185073
7,Multiplication,Order of Operations,False,No Match,2025-06-24T18:29:05.291191
8,Addition,Subtraction,False,No Match,2025-06-24T18:29:05.443646
9,Multiplication,Rate,False,No Match,2025-06-24T18:29:05.556116
10,Solving Equations,Geometric Sequences,False,No Match,2025-06-24T18:29:05.722112
11,Addition,Subtraction,False,No Match,2025-06-24T18:29:05.854206
12,Word Problem Comprehension,Fractions,False,No Match,2025-06-24T18:29:05.951116
13,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:29:06.066362
14,Unit Rate,Unit Rate,True,Exact Match,2025-06-24T18:29:06.161789
15,Multiplication,Decimal Operations,False,No Match,2025-06-24T18:29:06.303249
16,Ratios,Ratios,True,Exact Match,2025-06-24T18:29:06.434624
17,Addition,Multiplication,False,No Match,2025-06-24T18:29:06.535612
18,Multiplication,Multiplication,True,Exact Match,2025-06-24T18:29:06.704815
19,Division,Division,True,Exact Match,2025-06-24T18:29:06.819532
20,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:29:06.971577
21,Order of Operations,Order of Operations,True,Exact Match,2025-06-24T18:29:07.100454
22,Substitution,Substitution,True,Exact Match,2025-06-24T18:29:07.217284
23,Multiplication,Multiplication,True,Exact Match,2025-06-24T18:29:07.390661
24,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:29:07.554593
25,Fractions,Multiplication,False,No Match,2025-06-24T18:29:07.702231
26,Unit Conversion,Unit Conversion,True,Exact Match,2025-06-24T18:29:07.799101
27,Percentages,Fractions,False,No Match,2025-06-24T18:29:07.925008
28,Word Problem Comprehension,Subtraction,False,No Match,2025-06-24T18:29:08.008297
29,Ratio and Proportion,Percentages,False,No Match,2025-06-24T18:29:08.181118
30,Word Problem Comprehension,Fractions,False,No Match,2025-06-24T18:29:08.282115
31,Multiplication,Multiplication,True,Exact Match,2025-06-24T18:29:08.411347
32,Subtraction,Subtraction,True,Exact Match,2025-06-24T18:29:08.532110
33,Word Problem Comprehension,Fractions,False,No Match,2025-06-24T18:29:08.662215
34,Addition,Multiplication,False,No Match,2025-06-24T18:29:08.759160
35,Percentage,Percentage,True,Exact Match,2025-06-24T18:29:08.842609
36,Fractions,Subtraction,False,No Match,2025-06-24T18:29:08.922788
37,Division,Division,True,Exact Match,2025-06-24T18:29:09.052817
38,Unit Conversion,Unit Conversion,True,Exact Match,2025-06-24T18:29:09.194827
39,Word Problem Comprehension,Subtraction,False,No Match,2025-06-24T18:29:09.310666
40,Subtraction,Percentages,False,No Match,2025-06-24T18:29:09.429224
41,Word Problem Comprehension,Conceptual Misunderstanding,False,No Match,2025-06-24T18:29:09.561789
42,Division,Multiplication,False,No Match,2025-06-24T18:29:09.687723
43,Addition,Exponential Growth,False,No Match,2025-06-24T18:29:09.798963
44,Percentage to Decimal Conversion,Percentage Calculation,False,No Match,2025-06-24T18:29:09.919545
45,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:29:10.025586
46,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:29:10.127764
47,Division,Subtraction,False,No Match,2025-06-24T18:29:10.223107
48,Division,Division,True,Exact Match,2025-06-24T18:29:10.291709
49,Word Problem Comprehension,Multiplication,False,No Match,2025-06-24T18:29:10.408269
50,Subtraction,Subtraction,True,Exact Match,2025-06-24T18:29:10.526655
51,Multiplication,Area Calculation,False,No Match,2025-06-24T18:29:10.649119
52,Subtraction,Subtraction,True,Exact Match,2025-06-24T18:29:10.780149
53,Multiplication,Subtraction,False,No Match,2025-06-24T18:29:10.876662
54,Subtraction,Division,False,No Match,2025-06-24T18:29:10.991150
55,Percentage,Percentage,True,Exact Match,2025-06-24T18:29:11.061936
56,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:29:11.164099
57,Fractions,Fractions,True,Exact Match,2025-06-24T18:29:11.260820
58,Weighted Average,Weighted Average,True,Exact Match,2025-06-24T18:29:11.366373
59,Addition,Word Problem Comprehension,False,No Match,2025-06-24T18:29:11.496391
60,Multiplication,Multiplication,True,Exact Match,2025-06-24T18:29:11.592551
61,Multiplication,Subtraction,False,No Match,2025-06-24T18:29:11.736929
62,Subtraction,Division,False,No Match,2025-06-24T18:29:11.857842
63,Subtraction,Subtraction,True,Exact Match,2025-06-24T18:29:11.974742
64,Percentage,Percentage,True,Exact Match,2025-06-24T18:29:12.045610
65,Multiplication,Multiplication,True,Exact Match,2025-06-24T18:29:12.139611
66,Word Problem Comprehension,Percentage Calculation,False,No Match,2025-06-24T18:29:12.258932
67,Fractions,Averages,False,No Match,2025-06-24T18:29:12.399110
68,Division,Proportion,False,No Match,2025-06-24T18:29:12.523116
69,Addition,Addition,True,Exact Match,2025-06-24T18:29:12.617305
70,Subtraction,Subtraction,True,Exact Match,2025-06-24T18:29:12.711777
71,Addition,Subtraction,False,No Match,2025-06-24T18:29:12.836136
72,Fractions,Fractions,True,Exact Match,2025-06-24T18:29:12.974657
73,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:29:13.110699
74,Division,Subtraction,False,No Match,2025-06-24T18:29:13.230717
75,Addition,Addition,True,Exact Match,2025-06-24T18:29:13.327051
76,Word Problem Comprehension,Conceptual Misunderstandings,False,No Match,2025-06-24T18:29:13.511770
77,Word Problem Comprehension,Multiplication,False,No Match,2025-06-24T18:29:13.607078
78,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:29:13.720445
79,Word Problem Comprehension,Word Problem Comprehension,True,Exact Match,2025-06-24T18:29:13.821000
80,Ratios and Proportions,Ratios and Proportions,True,Exact Match,2025-06-24T18:29:13.998566
81,Addition,Subtraction,False,No Match,2025-06-24T18:29:14.121116
