question_id,ground_truth,predicted,is_correct,match_type,timestamp
0,Addition,Fractions (Specifically Halves),False,No Match,2025-06-20T15:23:12.740106
1,Monetary Units (Cents And Dollars),Application Of Unit Rates,False,No Match,2025-06-20T15:23:23.905689
2,Multiplication And Division Of Integers,Multiplication And Division Of Integers,True,Exact Match,2025-06-20T15:23:27.574068
3,Multiplication,Interpreting Word Problems,False,No Match,2025-06-20T15:23:31.395602
4,Number Of Weeks In A Year,Application Of Unit Rates,False,No Match,2025-06-20T15:23:35.040756
5,Whole Number Subtraction,Applying Percentages To A Base Value,False,No Match,2025-06-20T15:23:36.318895
6,Multi-Step Problem Solving,Multiplication,False,No Match,2025-06-20T15:23:37.479859
7,Addition And Subtraction Of Integers,Applying Multiple Steps In A Calculation,False,No Match,2025-06-20T15:23:38.724820
8,Multi-Step Problem Solving,Application Of Arithmetic Operations In Real-World Scenarios,False,No Match,2025-06-20T15:23:43.213745
9,Application Of Unit Rates,Calculating Overtime Pay,False,No Match,2025-06-20T15:23:44.834997
10,Age Calculation,Interpreting Word Problems,False,No Match,2025-06-20T15:23:46.264716
11,Applying Multiple Steps In A Calculation,Decimal Numbers,False,No Match,2025-06-20T15:23:49.514944
12,Multi-Step Problem Solving,Interpreting Word Problems,False,No Match,2025-06-20T15:23:51.785780
13,Applying Multiple Steps In A Calculation,Application Of Arithmetic Operations In Real-World Scenarios,False,No Match,2025-06-20T15:23:53.478911
14,Converting Units (Minutes To Hours),Application Of Unit Rates,False,No Match,2025-06-20T15:23:55.018837
15,Addition Of Multiple-Digit Numbers,Profit Calculation (Revenue - Cost),False,No Match,2025-06-20T15:23:56.620220
16,Proportion,Ratio,False,No Match,2025-06-20T15:23:57.756844
17,Working With Fractions,Multiplication And Division Of Integers,False,No Match,2025-06-20T15:23:59.107836
18,Multiplication,Addition And Subtraction Of Time,False,No Match,2025-06-20T15:24:00.466844
19,Application Of Unit Rates,Application Of Unit Rates,True,Exact Match,2025-06-20T15:24:01.694707
20,Multi-Step Problem Solving,Interpreting Word Problems,False,No Match,2025-06-20T15:24:03.952457
21,Whole Number Addition,Whole Number Multiplication,False,No Match,2025-06-20T15:24:05.665580
22,Multiplication,Interpreting Word Problems,False,No Match,2025-06-20T15:24:06.595986
23,Multiplication And Division Of Integers,Multi-Step Problem Solving,False,No Match,2025-06-20T15:24:07.666868
24,Application Of Arithmetic Operations In Real-World Scenarios,Whole Number Subtraction,False,No Match,2025-06-20T15:24:08.709806
25,Fraction Of A Quantity,Finding A Fraction Of A Quantity,True,Partial Match,2025-06-20T15:24:09.785931
